City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,constantia,44.1833,28.65,29.38,55,0,3.65,RO,1723124146
109,akureyri,65.6835,-18.0878,9.96,76,100,4.63,IS,1723124246
110,al bayda,32.7627,21.7551,27.96,47,0,6.09,LY,1723124246
111,bethel,41.3712,-73.414,19.55,86,100,3.6,US,1723124246
112,masterton,-40.9597,175.6575,7.83,97,25,1.72,NZ,1723124246
113,brandon,27.9378,-82.2859,31.63,83,75,4.12,US,1723124117
114,minas de marcona,-15.2119,-75.1103,11.53,81,84,5.77,PE,1723124247
115,kapa'a,22.0752,-159.319,24.99,81,20,5.14,US,1723124247
116,labrador city,52.9463,-66.9114,11.95,76,75,2.57,CA,1723124247
117,murzuq,25.9155,13.9184,41.49,8,5,6.84,LY,1723124247
118,conduaga,8.862,117.4893,25.8,89,95,1.37,PH,1723124247
119,awjilah,29.1081,21.2869,39.61,16,0,5.46,LY,1723124247
120,vernon,50.2581,-119.2691,16.91,59,0,1.54,CA,1723124247
121,atafu village,-8.5421,-172.5159,27.96,79,100,8.94,TK,1723124247
122,anadyr,64.75,177.4833,5.28,100,75,2.0,RU,1723124248
123,shizuishan,39.2333,106.7694,22.0,93,100,2.88,CN,1723124248
124,whitehorse,60.7161,-135.0538,14.43,67,0,5.66,CA,1723124248
125,mount gambier,-37.8333,140.7667,7.34,97,25,1.81,AU,1723124248
126,agartala,23.8364,91.275,29.01,84,75,2.57,IN,1723124248
127,port mathurin,-19.6833,63.4167,22.47,69,59,8.21,MU,1723124248
128,ocean city,39.2776,-74.5746,23.43,96,100,2.24,US,1723124196
129,deogarh,21.5333,84.7333,25.71,91,95,1.37,IN,1723124248
130,port alfred,-33.5906,26.891,19.54,86,0,2.24,ZA,1723124249
131,xihe,31.6864,113.4659,29.28,77,59,3.51,CN,1723124249
132,makokou,0.5738,12.8642,34.59,32,89,1.89,GA,1723124249
133,haiku-pauwela,20.9219,-156.3051,23.47,82,40,6.69,US,1723124249
134,merizo village,13.2658,144.6691,27.31,94,89,2.07,GU,1723124249
135,stanley,54.868,-1.6985,17.77,80,75,3.09,GB,1723124249
136,olinda,-8.0089,-34.8553,26.85,74,40,3.6,BR,1723123982
137,bel ombre,-4.6167,55.4167,26.91,78,40,9.26,SC,1723124249
138,bonga,7.2833,36.2333,21.01,92,25,1.22,ET,1723124249
139,benxi,41.2886,123.765,26.18,94,22,0.79,CN,1723124249
140,altay,47.8667,88.1167,22.74,31,8,2.58,CN,1723123962
141,kalix,65.853,23.1565,18.12,56,70,3.05,SE,1723124250
142,kalevala,65.2,31.1667,21.42,35,6,2.12,RU,1723124250
143,newman,37.3138,-121.0208,22.38,72,0,0.89,US,1723124250
144,casas grandes,30.3667,-107.95,20.99,65,72,1.43,MX,1723124250
145,bhimunipatnam,17.8833,83.4333,28.37,80,100,4.16,IN,1723124250
146,ilhabela,-23.7781,-45.3581,27.48,51,7,1.24,BR,1723124250
147,vigan,17.5747,120.3869,29.4,80,66,3.89,PH,1723124250
148,borujen,31.9652,51.2873,33.74,11,100,2.25,IR,1723124250
149,georgetown,5.4112,100.3354,29.97,58,20,3.6,MY,1723124251
150,ust'-ilimsk,58.0006,102.6619,15.8,96,100,2.3,RU,1723124251
151,vorgashor,67.5833,63.95,17.07,49,79,2.62,RU,1723124251
152,corner brook,48.9667,-57.9484,19.09,57,21,5.99,CA,1723124251
153,fort wellington,6.4,-57.6,28.34,76,99,2.68,GY,1723124251
154,rio grande,-32.035,-52.0986,12.19,64,21,3.51,BR,1723124251
155,nuku'alofa,-21.1333,-175.2,21.19,68,20,6.69,TO,1723124251
156,kota kinabalu,5.9749,116.0724,24.99,94,20,1.54,MY,1723124251
157,monze,-16.2833,27.4833,28.69,15,5,4.74,ZM,1723124251
158,tazacorte,28.629,-17.9293,25.54,78,75,6.69,ES,1723124251
159,bubaque,11.2833,-15.8333,26.41,80,88,7.57,GW,1723124252
160,visakhapatnam,17.69,83.2093,29.81,74,100,4.37,IN,1723124252
161,berdyansk,46.7503,36.7944,28.44,46,23,8.13,UA,1723123763
162,vilyuchinsk,52.9306,158.4028,17.15,88,100,4.64,RU,1723123764
163,usogorsk,63.4106,48.6872,22.67,30,0,2.94,RU,1723123765
164,moissac,44.1024,1.0945,30.93,38,4,2.98,FR,1723123491
165,fale old settlement,-9.3852,-171.2468,27.8,79,83,9.16,TK,1723123767
166,iskateley,67.6803,53.1512,18.21,42,0,4.25,RU,1723123768
167,petrozavodsk,61.7849,34.3469,22.7,43,0,2.0,RU,1723123769
168,mut,36.6439,33.4389,38.86,22,0,8.08,TR,1723123770
169,carutapera,-1.195,-46.02,30.96,55,1,4.18,BR,1723123772
170,hammerfest,70.6634,23.6821,24.25,33,0,6.17,NO,1723123773
171,genhe,50.7833,121.5167,17.04,74,100,1.12,CN,1723123501
172,colonia,50.9333,6.95,25.59,52,75,2.06,DE,1723123775
173,ust-nera,64.5667,143.2,8.19,90,8,0.96,RU,1723123777
174,san patricio,28.017,-97.5169,28.92,82,0,1.26,US,1723123778
175,victorica,-36.2151,-65.4359,3.1,70,100,6.29,AR,1723123779
176,sola,-13.8833,167.55,25.45,68,87,9.1,VU,1723123780
177,selkirk,50.1436,-96.8845,12.82,95,99,3.58,CA,1723123782
178,aginskoye,51.1,114.53,15.54,89,27,1.4,RU,1723123783
